QR1,QR2,QC1,QC2,SAF,GREEN DIESEL (G),NAPHTHA (N)
192.518913,915.210393,46.9046832,883.684027,1650.29865,454.528934,461.658597
493.976462,239.959043,321.681999,230.565544,1683.80458,244.137906,725.68517
209.364759,400.760443,92.4401662,395.899178,847.447126,128.4115,691.695487
228.567769,192.22887,125.72277,186.210146,1005.7891,123.52908,412.395143
680.183105,179.511762,505.969132,179.890005,960.305334,381.620292,1080.22809
549.11038,499.933167,372.782632,504.802632,1489.52466,72.9627697,965.912288
263.949398,186.607453,104.744738,163.774006,1419.10758,543.836196,634.073421
184.246585,691.161417,51.5542093,646.587399,1429.40769,549.367404,346.711899
448.248952,269.811329,243.371917,286.079415,1383.32117,98.0423504,1044.29688
357.03857,343.238987,179.023326,302.532417,2263.67296,552.966164,468.138911
195.629997,306.740901,61.0118126,295.203779,1684.35566,240.87544,399.344475
142.470263,374.279399,40.7189126,359.539785,1128.01251,192.491796,394.565134
340.878846,159.872849,224.614029,151.233432,1153.6553,131.446014,518.828353
250.933475,804.213504,140.490419,794.352906,1582.44966,55.5596896,334.298201
367.497707,524.084176,181.29838,523.749276,1251.5498,291.140123,845.73174
258.265111,996.997547,110.909062,956.205794,1919.84044,431.963577,383.890919
201.248518,370.226717,84.5607783,361.791916,993.293971,179.353486,561.940777
140.893158,205.256525,38.936825,168.649949,1206.89253,453.285334,257.254554
335.114824,360.464281,182.604046,365.211309,1332.67632,59.9701834,808.563976
100.67138,375.543937,21.7537705,352.702246,1068.19745,354.077847,206.519852
607.708624,711.990911,423.619949,699.050659,1590.31568,280.223209,887.612937
167.222388,682.375734,79.5499653,667.792618,1341.29024,88.6498785,223.785078
206.333509,712.493336,109.129886,697.966535,1166.04379,156.131059,315.970378
486.155859,187.587345,319.804556,179.219944,1228.281,370.604739,712.811232
457.290192,964.68336,267.364044,951.87035,1814.55902,84.852216,923.340268
547.419064,779.821947,369.637018,750.131685,1578.86748,562.993138,732.76261
526.148571,459.144864,351.461127,447.482767,1262.71106,367.262431,876.559951
412.166987,231.513692,266.780762,231.260033,1202.45267,111.861166,773.363417
424.828354,240.455523,276.282665,246.220904,1058.97235,115.207816,765.504938
556.031783,581.338624,346.822654,587.358367,1775.96969,86.4951982,1149.80765
355.316117,528.295815,176.129774,513.922694,2662.46246,196.042643,457.69696
616.421262,420.984583,385.707188,400.998554,1685.76562,629.42947,1107.8736
575.457745,577.623661,391.815569,581.657645,1409.11021,251.370997,980.071117
269.28367,117.537882,157.747991,110.316456,803.383701,236.486175,584.16271
324.815606,409.173944,172.647695,385.106004,1640.40026,482.479687,512.443422
347.518423,772.518315,180.316958,741.915156,2494.39415,235.832317,417.919575
350.006302,1037.82544,150.460477,1039.63682,2234.84475,143.138438,688.199624
176.085971,336.915069,70.074466,322.885337,972.06656,247.990954,445.648346
293.26806,417.576716,122.999706,392.028333,2557.28015,376.227133,367.394324
